DateTime,Latitude,Longitude,Vehicle_Count,Speed,Congestion_Level,Weather,Road_Name,Traffic_Signal,Accident,Hour,Day,Month,Year,DayOfWeek,Weekday,IsWeekend,PeakHour,Minute,TimeSlot,Alternative_Route,Estimated_Delay
2026-08-01 00:00:00,17.42278538158511,78.4742638747921,69,61,Low,2,4,0,0,0,1,8,2026,2,5,1,2,0,Night,No Alternate Route,0
2026-08-01 00:05:00,17.41161388959308,78.4465065010529,50,65,Low,1,1,0,0,0,1,8,2026,2,5,1,2,5,Night,No Alternate Route,0
2026-08-01 00:10:00,17.3844516579321,78.4850426039202,68,60,Low,2,0,0,0,0,1,8,2026,2,5,1,2,10,Night,No Alternate Route,0
2026-08-01 00:15:00,17.49594606313298,78.39197600748966,35,73,Low,2,3,1,0,0,1,8,2026,2,5,1,2,15,Night,No Alternate Route,0
2026-08-01 00:20:00,17.42369872789424,78.47328103038227,53,68,Low,0,4,0,0,0,1,8,2026,2,5,1,2,20,Night,No Alternate Route,0
2026-08-01 00:25:00,17.49423179416834,78.39338290462855,66,74,Low,3,3,1,0,0,1,8,2026,2,5,1,2,25,Night,No Alternate Route,0
2026-08-01 00:30:00,17.42294484532459,78.47565480389727,21,71,Low,1,4,2,0,0,1,8,2026,2,5,1,2,30,Night,No Alternate Route,0
2026-08-01 00:35:00,17.45048974953282,78.38401490546639,55,69,Low,3,2,1,0,0,1,8,2026,2,5,1,2,35,Night,No Alternate Route,0
2026-08-01 00:40:00,17.38348325969874,78.48615231797002,39,75,Low,0,0,2,0,0,1,8,2026,2,5,1,2,40,Night,No Alternate Route,0
2026-08-01 00:45:00,17.4967431543633,78.39260728175726,43,80,Low,2,3,1,0,0,1,8,2026,2,5,1,2,45,Night,No Alternate Route,0
2026-08-01 00:50:00,17.49443470636902,78.39326896500094,30,65,Low,2,3,0,0,0,1,8,2026,2,5,1,2,50,Night,No Alternate Route,0
2026-08-01 00:55:00,17.42403507164686,78.4738261933596,61,68,Low,2,4,2,0,0,1,8,2026,2,5,1,2,55,Night,No Alternate Route,0
2026-08-01 01:00:00,17.44965674574466,78.38383395832945,74,63,Low,0,2,0,0,1,1,8,2026,2,5,1,2,0,Night,No Alternate Route,0
2026-08-01 01:05:00,17.41336992152866,78.44791907635269,71,64,Low,3,1,2,0,1,1,8,2026,2,5,1,2,5,Night,No Alternate Route,0
2026-08-01 01:10:00,17.41064373128945,78.4493392610304,56,66,Low,2,1,1,0,1,1,8,2026,2,5,1,2,10,Night,No Alternate Route,0
2026-08-01 01:15:00,17.4144780723623,78.44722279863204,51,69,Low,1,1,2,0,1,1,8,2026,2,5,1,2,15,Night,No Alternate Route,0
2026-08-01 01:20:00,17.42238497570645,78.47310465464851,49,64,Low,0,4,2,0,1,1,8,2026,2,5,1,2,20,Night,No Alternate Route,0
2026-08-01 01:25:00,17.38584893093375,78.48518981348604,37,77,Low,0,0,2,0,1,1,8,2026,2,5,1,2,25,Night,No Alternate Route,0
2026-08-01 01:30:00,17.42299700116271,78.47327908600795,26,74,Low,1,4,1,0,1,1,8,2026,2,5,1,2,30,Night,No Alternate Route,0
2026-08-01 01:35:00,17.45109715684222,78.38162400858563,55,72,Low,1,2,1,0,1,1,8,2026,2,5,1,2,35,Night,No Alternate Route,0
2026-08-01 01:40:00,17.42383943544817,78.47493945682477,40,63,Low,3,4,2,0,1,1,8,2026,2,5,1,2,40,Night,No Alternate Route,0
2026-08-01 01:45:00,17.42302957489116,78.47308008226734,54,78,Low,2,4,0,0,1,1,8,2026,2,5,1,2,45,Night,No Alternate Route,0
2026-08-01 01:50:00,17.42429894634422,78.47298132480125,69,75,Low,0,4,2,0,1,1,8,2026,2,5,1,2,50,Night,No Alternate Route,0
2026-08-01 01:55:00,17.41426534899862,78.44714452201013,78,79,Low,0,1,2,0,1,1,8,2026,2,5,1,2,55,Night,No Alternate Route,0
2026-08-01 02:00:00,17.41292492245952,78.44966780053936,65,69,Low,3,1,0,0,2,1,8,2026,2,5,1,2,0,Night,No Alternate Route,0
2026-08-01 02:05:00,17.42533770778856,78.47486051148938,41,62,Low,3,4,1,0,2,1,8,2026,2,5,1,2,5,Night,No Alternate Route,0
2026-08-01 02:10:00,17.3839266881542,78.48819220482868,56,62,Low,2,0,2,0,2,1,8,2026,2,5,1,2,10,Night,No Alternate Route,0
2026-08-01 02:15:00,17.38660091464207,78.48498448198794,60,66,Low,1,0,2,0,2,1,8,2026,2,5,1,2,15,Night,No Alternate Route,0
2026-08-01 02:20:00,17.49636626481368,78.38983767256622,67,72,Low,3,3,2,0,2,1,8,2026,2,5,1,2,20,Night,No Alternate Route,0
2026-08-01 02:25:00,17.4114206542363,78.44733530794007,61,66,Low,3,1,1,0,2,1,8,2026,2,5,1,2,25,Night,No Alternate Route,0
2026-08-01 02:30:00,17.42269020521828,78.47417887701698,76,72,Low,2,4,1,0,2,1,8,2026,2,5,1,2,30,Night,No Alternate Route,0
2026-08-01 02:35:00,17.4221306970729,78.47396427776562,44,71,Low,0,4,1,0,2,1,8,2026,2,5,1,2,35,Night,No Alternate Route,0
2026-08-01 02:40:00,17.49620804655002,78.39339875573701,78,63,Low,3,3,2,1,2,1,8,2026,2,5,1,2,40,Night,No Alternate Route,0
2026-08-01 02:45:00,17.49356781976833,78.39224146425275,78,66,Low,0,3,2,0,2,1,8,2026,2,5,1,2,45,Night,No Alternate Route,0
2026-08-01 02:50:00,17.42206792613949,78.47199585003375,45,62,Low,0,4,2,0,2,1,8,2026,2,5,1,2,50,Night,No Alternate Route,0
2026-08-01 02:55:00,17.38368883925469,78.48839580935835,41,66,Low,3,0,1,0,2,1,8,2026,2,5,1,2,55,Night,No Alternate Route,0
2026-08-01 03:00:00,17.44884628434831,78.38449776567384,29,77,Low,0,2,0,0,3,1,8,2026,2,5,1,2,0,Night,No Alternate Route,0
2026-08-01 03:05:00,17.49348173235954,78.39024407733267,32,73,Low,3,3,1,0,3,1,8,2026,2,5,1,2,5,Night,No Alternate Route,0
2026-08-01 03:10:00,17.45193781589882,78.38156226595837,75,76,Low,2,2,2,0,3,1,8,2026,2,5,1,2,10,Night,No Alternate Route,0
2026-08-01 03:15:00,17.41281804790243,78.44936924616287,30,64,Low,3,1,2,0,3,1,8,2026,2,5,1,2,15,Night,No Alternate Route,0
2026-08-01 03:20:00,17.41193392240348,78.4465962422305,47,74,Low,1,1,1,0,3,1,8,2026,2,5,1,2,20,Night,No Alternate Route,0
2026-08-01 03:25:00,17.38338674640289,78.48536978383852,41,68,Low,0,0,2,0,3,1,8,2026,2,5,1,2,25,Night,No Alternate Route,0
2026-08-01 03:30:00,17.41263505713588,78.44974496617105,62,71,Low,2,1,1,0,3,1,8,2026,2,5,1,2,30,Night,No Alternate Route,0
2026-08-01 03:35:00,17.42240547293167,78.47294361447872,42,64,Low,2,4,0,0,3,1,8,2026,2,5,1,2,35,Night,No Alternate Route,0
2026-08-01 03:40:00,17.49400869204683,78.39010440989313,61,62,Low,3,3,1,0,3,1,8,2026,2,5,1,2,40,Night,No Alternate Route,0
2026-08-01 03:45:00,17.42245021192699,78.47445330353852,26,62,Low,1,4,0,0,3,1,8,2026,2,5,1,2,45,Night,No Alternate Route,0
2026-08-01 03:50:00,17.42209540652789,78.47202109787267,52,61,Low,1,4,1,0,3,1,8,2026,2,5,1,2,50,Night,No Alternate Route,0
2026-08-01 03:55:00,17.49434332365505,78.38995558812096,20,67,Low,3,3,2,0,3,1,8,2026,2,5,1,2,55,Night,No Alternate Route,0
2026-08-01 04:00:00,17.45052727362614,78.38106493746102,73,75,Low,3,2,0,0,4,1,8,2026,2,5,1,2,0,Night,No Alternate Route,0
2026-08-01 04:05:00,17.41372276492972,78.44681617760529,64,65,Low,2,1,1,0,4,1,8,2026,2,5,1,2,5,Night,No Alternate Route,0
2026-08-01 04:10:00,17.45207098844694,78.3806448666539,57,68,Low,2,2,2,0,4,1,8,2026,2,5,1,2,10,Night,No Alternate Route,0
2026-08-01 04:15:00,17.41137698945869,78.45012763242002,46,80,Low,1,1,0,0,4,1,8,2026,2,5,1,2,15,Night,No Alternate Route,0
2026-08-01 04:20:00,17.44940884379989,78.38255384932718,62,67,Low,2,2,0,0,4,1,8,2026,2,5,1,2,20,Night,No Alternate Route,0
2026-08-01 04:25:00,17.38503208118437,78.48601930569208,58,71,Low,3,0,0,0,4,1,8,2026,2,5,1,2,25,Night,No Alternate Route,0
2026-08-01 04:30:00,17.38363990578274,78.48686272445553,40,69,Low,1,0,0,0,4,1,8,2026,2,5,1,2,30,Night,No Alternate Route,0
2026-08-01 04:35:00,17.42323921733129,78.47225871968163,32,66,Low,1,4,0,0,4,1,8,2026,2,5,1,2,35,Night,No Alternate Route,0
2026-08-01 04:40:00,17.45144547340051,78.38360474939358,58,61,Low,3,2,1,0,4,1,8,2026,2,5,1,2,40,Night,No Alternate Route,0
2026-08-01 04:45:00,17.38559056480079,78.48650914904422,58,77,Low,0,0,0,0,4,1,8,2026,2,5,1,2,45,Night,No Alternate Route,0
2026-08-01 04:50:00,17.42207819439048,78.4751217801593,74,74,Low,0,4,2,0,4,1,8,2026,2,5,1,2,50,Night,No Alternate Route,0
2026-08-01 04:55:00,17.38665563725177,78.48799326709056,74,67,Low,0,0,1,0,4,1,8,2026,2,5,1,2,55,Night,No Alternate Route,0
2026-08-01 05:00:00,17.42438245740633,78.47204606966832,158,45,Moderate,1,4,0,0,5,1,8,2026,2,5,1,2,0,Morning,No Alternate Route,5
2026-08-01 05:05:00,17.41369845711085,78.44734193949141,170,48,Moderate,0,1,1,0,5,1,8,2026,2,5,1,2,5,Morning,No Alternate Route,5
2026-08-01 05:10:00,17.41118803313864,78.44704783468896,155,46,Moderate,1,1,0,0,5,1,8,2026,2,5,1,2,10,Morning,No Alternate Route,5
2026-08-01 05:15:00,17.38445155601839,78.48615115401256,143,44,Moderate,0,0,0,0,5,1,8,2026,2,5,1,2,15,Morning,No Alternate Route,5
2026-08-01 05:20:00,17.38633797106701,78.48834029517317,163,49,Moderate,3,0,2,0,5,1,8,2026,2,5,1,2,20,Morning,No Alternate Route,5
2026-08-01 05:25:00,17.38592989612515,78.4860438865541,153,55,Moderate,0,0,0,0,5,1,8,2026,2,5,1,2,25,Morning,No Alternate Route,5
2026-08-01 05:30:00,17.38587727982961,78.48726867690881,83,63,Low,0,0,1,0,5,1,8,2026,2,5,1,2,30,Morning,No Alternate Route,0
2026-08-01 05:35:00,17.42348282972899,78.47495182688446,121,47,Moderate,2,4,0,0,5,1,8,2026,2,5,1,2,35,Morning,No Alternate Route,5
2026-08-01 05:40:00,17.41131820380659,78.44843581272758,161,49,Moderate,3,1,1,0,5,1,8,2026,2,5,1,2,40,Morning,No Alternate Route,5
2026-08-01 05:45:00,17.38687632963465,78.48707628865233,137,46,Moderate,0,0,2,0,5,1,8,2026,2,5,1,2,45,Morning,No Alternate Route,5
2026-08-01 05:50:00,17.42240168838499,78.47399073529483,125,52,Moderate,3,4,0,0,5,1,8,2026,2,5,1,2,50,Morning,No Alternate Route,5
2026-08-01 05:55:00,17.38615122764973,78.48813652297389,114,48,Moderate,3,0,0,0,5,1,8,2026,2,5,1,2,55,Morning,No Alternate Route,5
2026-08-01 06:00:00,17.42540923529512,78.47539533125892,83,66,Low,3,4,0,0,6,1,8,2026,2,5,1,2,0,Morning,No Alternate Route,0
2026-08-01 06:05:00,17.41403047242725,78.44966705046107,176,52,Moderate,3,1,1,1,6,1,8,2026,2,5,1,2,5,Morning,No Alternate Route,5
2026-08-01 06:10:00,17.49473068032145,78.39271914832696,81,73,Low,0,3,0,0,6,1,8,2026,2,5,1,2,10,Morning,No Alternate Route,0
2026-08-01 06:15:00,17.44943672406393,78.38312424607649,160,46,Moderate,0,2,0,0,6,1,8,2026,2,5,1,2,15,Morning,No Alternate Route,5
2026-08-01 06:20:00,17.4222467599965,78.47213914334266,142,45,Moderate,1,4,1,0,6,1,8,2026,2,5,1,2,20,Morning,No Alternate Route,5
2026-08-01 06:25:00,17.49667093267093,78.39163931885743,136,58,Moderate,0,3,2,0,6,1,8,2026,2,5,1,2,25,Morning,No Alternate Route,5
2026-08-01 06:30:00,17.42519578347584,78.47205912579636,87,64,Low,3,4,1,0,6,1,8,2026,2,5,1,2,30,Morning,No Alternate Route,0
2026-08-01 06:35:00,17.42506035546542,78.47399108265002,141,50,Moderate,3,4,1,0,6,1,8,2026,2,5,1,2,35,Morning,No Alternate Route,5
2026-08-01 06:40:00,17.49397378948036,78.39118197447793,172,47,Moderate,0,3,2,0,6,1,8,2026,2,5,1,2,40,Morning,No Alternate Route,5
2026-08-01 06:45:00,17.38687301393966,78.48636093553422,105,47,Moderate,2,0,2,0,6,1,8,2026,2,5,1,2,45,Morning,No Alternate Route,5
2026-08-01 06:50:00,17.423214544066,78.47227779477822,134,54,Moderate,2,4,0,0,6,1,8,2026,2,5,1,2,50,Morning,No Alternate Route,5
2026-08-01 06:55:00,17.45172572275054,78.384005829359,164,47,Moderate,2,2,1,0,6,1,8,2026,2,5,1,2,55,Morning,No Alternate Route,5
2026-08-01 07:00:00,17.45095584643693,78.38179081239376,611,20,Severe,1,2,0,0,7,1,8,2026,2,5,1,1,0,Morning,No Alternate Route,30
2026-08-01 07:05:00,17.38662025472789,78.4873897702521,649,17,Severe,2,0,2,0,7,1,8,2026,2,5,1,1,5,Morning,No Alternate Route,30
2026-08-01 07:10:00,17.41081780927063,78.44734687985377,553,37,High,2,1,0,0,7,1,8,2026,2,5,1,1,10,Morning,No Alternate Route,15
2026-08-01 07:15:00,17.3862737801246,78.48851704411135,617,12,Severe,1,0,2,0,7,1,8,2026,2,5,1,1,15,Morning,No Alternate Route,30
2026-08-01 07:20:00,17.49324092736499,78.3930678745257,652,18,Severe,1,3,2,0,7,1,8,2026,2,5,1,1,20,Morning,No Alternate Route,30
2026-08-01 07:25:00,17.45165191784164,78.38413097628897,497,24,High,3,2,2,0,7,1,8,2026,2,5,1,1,25,Morning,No Alternate Route,15
2026-08-01 07:30:00,17.41129439881015,78.44795165306445,541,27,High,3,1,0,0,7,1,8,2026,2,5,1,1,30,Morning,No Alternate Route,15
2026-08-01 07:35:00,17.41154201820316,78.45013604293523,502,21,High,0,1,2,1,7,1,8,2026,2,5,1,1,35,Morning,No Alternate Route,15
2026-08-01 07:40:00,17.49472714525057,78.38990170813547,461,29,High,0,3,2,0,7,1,8,2026,2,5,1,1,40,Morning,No Alternate Route,15
2026-08-01 07:45:00,17.49491295418678,78.39237500215951,651,16,Severe,3,3,0,1,7,1,8,2026,2,5,1,1,45,Morning,No Alternate Route,30
2026-08-01 07:50:00,17.41455399918583,78.44723997949028,660,11,Severe,0,1,2,0,7,1,8,2026,2,5,1,1,50,Morning,No Alternate Route,30
2026-08-01 07:55:00,17.38556974382845,78.48480471618639,590,36,High,2,0,2,0,7,1,8,2026,2,5,1,1,55,Morning,No Alternate Route,15
2026-08-01 08:00:00,17.42484720704668,78.47409475010639,642,16,Severe,3,4,0,0,8,1,8,2026,2,5,1,1,0,Morning,No Alternate Route,30
2026-08-01 08:05:00,17.4949423525079,78.39052046377347,672,16,Severe,1,3,1,0,8,1,8,2026,2,5,1,1,5,Morning,No Alternate Route,30
2026-08-01 08:10:00,17.38534313513328,78.48822186616705,495,25,High,3,0,2,0,8,1,8,2026,2,5,1,1,10,Morning,No Alternate Route,15
2026-08-01 08:15:00,17.49442039426546,78.39071588236517,664,15,Severe,3,3,0,0,8,1,8,2026,2,5,1,1,15,Morning,No Alternate Route,30
2026-08-01 08:20:00,17.49645281736866,78.39032203985545,677,20,Severe,0,3,1,1,8,1,8,2026,2,5,1,1,20,Morning,No Alternate Route,30
2026-08-01 08:25:00,17.41132668453483,78.4488086385913,681,11,Severe,0,1,0,0,8,1,8,2026,2,5,1,1,25,Morning,No Alternate Route,30
2026-08-01 08:30:00,17.38626167529141,78.48630362715272,552,31,High,0,0,2,0,8,1,8,2026,2,5,1,1,30,Morning,No Alternate Route,15
2026-08-01 08:35:00,17.41319173175359,78.4496590808475,651,16,Severe,2,1,1,0,8,1,8,2026,2,5,1,1,35,Morning,No Alternate Route,30
2026-08-01 08:40:00,17.44988606044808,78.38352810258276,636,15,Severe,3,2,1,0,8,1,8,2026,2,5,1,1,40,Morning,No Alternate Route,30
2026-08-01 08:45:00,17.49521270538396,78.39192157586292,632,17,Severe,1,3,1,0,8,1,8,2026,2,5,1,1,45,Morning,No Alternate Route,30
2026-08-01 08:50:00,17.42321026617906,78.47484684473527,698,20,Severe,3,4,1,1,8,1,8,2026,2,5,1,1,50,Morning,No Alternate Route,30
2026-08-01 08:55:00,17.38622549783158,78.48547243262706,660,11,Severe,1,0,0,0,8,1,8,2026,2,5,1,1,55,Morning,No Alternate Route,30
2026-08-01 09:00:00,17.4252067536267,78.47287519179417,455,34,High,2,4,1,0,9,1,8,2026,2,5,1,1,0,Morning,No Alternate Route,15
2026-08-01 09:05:00,17.45030277443631,78.3833709194988,600,21,High,0,2,2,0,9,1,8,2026,2,5,1,1,5,Morning,No Alternate Route,15
2026-08-01 09:10:00,17.41424345221905,78.44952401240413,639,11,Severe,3,1,2,0,9,1,8,2026,2,5,1,1,10,Morning,No Alternate Route,30
2026-08-01 09:15:00,17.41354361143094,78.44801507775338,453,24,High,0,1,2,0,9,1,8,2026,2,5,1,1,15,Morning,No Alternate Route,15
2026-08-01 09:20:00,17.41339987681848,78.44663696334644,501,29,High,0,1,2,0,9,1,8,2026,2,5,1,1,20,Morning,No Alternate Route,15
2026-08-01 09:25:00,17.49338768446343,78.39114446045618,557,33,High,2,3,2,0,9,1,8,2026,2,5,1,1,25,Morning,No Alternate Route,15
2026-08-01 09:30:00,17.41332047328381,78.44769616164474,477,23,High,3,1,1,0,9,1,8,2026,2,5,1,1,30,Morning,No Alternate Route,15
2026-08-01 09:35:00,17.42279817854444,78.47336000544381,636,12,Severe,1,4,0,0,9,1,8,2026,2,5,1,1,35,Morning,No Alternate Route,30
2026-08-01 09:40:00,17.42455950633639,78.47396770276363,635,15,Severe,1,4,0,0,9,1,8,2026,2,5,1,1,40,Morning,No Alternate Route,30
2026-08-01 09:45:00,17.49326218931162,78.39284916382576,529,36,High,3,3,1,0,9,1,8,2026,2,5,1,1,45,Morning,No Alternate Route,15
2026-08-01 09:50:00,17.38549262637369,78.48667151861308,457,27,High,1,0,2,0,9,1,8,2026,2,5,1,1,50,Morning,No Alternate Route,15
2026-08-01 09:55:00,17.38311183464096,78.48806595567879,656,15,Severe,1,0,2,0,9,1,8,2026,2,5,1,1,55,Morning,No Alternate Route,30
2026-08-01 10:00:00,17.38535842568737,78.48493497964486,315,37,High,1,0,2,0,10,1,8,2026,2,5,1,1,0,Morning,No Alternate Route,15
2026-08-01 10:05:00,17.49330030167852,78.38973104474944,318,36,High,3,3,1,0,10,1,8,2026,2,5,1,1,5,Morning,No Alternate Route,15
2026-08-01 10:10:00,17.41229335373105,78.44806755445747,275,43,Moderate,0,1,2,0,10,1,8,2026,2,5,1,1,10,Morning,No Alternate Route,5
2026-08-01 10:15:00,17.38617799085454,78.48522305437054,226,48,Moderate,2,0,2,0,10,1,8,2026,2,5,1,1,15,Morning,No Alternate Route,5
2026-08-01 10:20:00,17.42234423763724,78.47299023528727,330,37,High,1,4,1,0,10,1,8,2026,2,5,1,1,20,Morning,No Alternate Route,15
2026-08-01 10:25:00,17.38663764093938,78.48834091922214,237,49,Moderate,1,0,1,0,10,1,8,2026,2,5,1,1,25,Morning,No Alternate Route,5
2026-08-01 10:30:00,17.38319870156382,78.48520736740467,349,29,High,3,0,1,0,10,1,8,2026,2,5,1,1,30,Morning,No Alternate Route,15
