road_id,road_name,road_type,city,country,district,length_km,lanes,speed_limit_kmh,capacity_vehicles_per_hour,has_bus_lane,has_bike_lane,has_sidewalk,has_median,has_speed_camera,has_pedestrian_crossing,has_toll,toll_rate_local_currency,currency,has_congestion_charge,congestion_charge_amount,surface_condition,lighting_type,traffic_signal_type,road_classification,latitude_start,longitude_start,latitude_end,longitude_end,avg_daily_traffic,peak_hour_traffic,year_built,last_maintenance_date,next_scheduled_maintenance,last_resurfacing_date,has_variable_message_sign,has_intelligent_transport_system,has_emergency_callbox,connected_sensors_count,noise_level_db,annual_co2_emission_tons
RD-TOK-0001,Akihabara Koen Dori,Local Street,Tokyo,Japan,Akihabara,0.9,1,20,628,0,1,1,0,1,1,0,0.0,JPY,0,0.0,Fair,Sodium Vapor,Semi-Actuated,Private,35.712845,139.65523,35.724874,139.63062,700,66,1972,2022-01-04,2024-10-18,2020-12-26,0,1,0,1,69.1,20.7
RD-TOK-0002,Ueno Dori,Collector Road,Tokyo,Japan,Ueno,2.0,2,50,2465,0,0,1,0,1,1,0,0.0,JPY,0,0.0,Excellent,Sodium Vapor,Semi-Actuated,Private,35.740239,139.667181,35.768842,139.658632,3003,339,1960,2022-05-15,2024-07-09,2021-10-12,0,0,0,0,66.4,7.7
RD-TOK-0003,Akihabara Dori,Local Street,Tokyo,Japan,Akihabara,0.9,2,50,1591,0,1,1,0,0,1,0,0.0,JPY,0,0.0,Fair,None,Fixed Timer,State/Provincial,35.616416,139.720916,35.614985,139.694265,1868,168,1990,2023-10-26,2024-09-08,2021-05-14,1,1,0,5,60.6,4.5
RD-TOK-0004,Shibuya Koen Dori,Collector Road,Tokyo,Japan,Shibuya,1.2,2,50,2404,0,1,1,0,0,1,0,0.0,JPY,0,0.0,Good,Sodium Vapor,Adaptive SCOOT,Municipal,35.650081,139.70028,35.643237,139.719101,2079,261,1963,2022-12-23,2024-08-05,2020-04-23,1,0,1,0,75.2,13.2
RD-TOK-0005,Asakusa Dori,Collector Road,Tokyo,Japan,Asakusa,3.2,4,40,4857,0,1,1,1,1,1,0,0.0,JPY,0,0.0,Excellent,Halogen,Semi-Actuated,Private,35.643085,139.679869,35.632321,139.678495,5908,880,1974,2023-06-06,2024-10-21,2022-01-14,0,0,0,0,65.7,154.7
RD-TOK-0006,Metropolitan Expressway 684,Ring Road,Tokyo,Japan,Akihabara,30.3,8,100,16136,0,0,0,1,0,0,1,12.0,JPY,0,0.0,Poor,Solar LED,Adaptive SCOOT,Private,35.662874,139.690724,35.67525,139.685219,24163,2280,2009,2023-10-02,2024-12-27,2021-01-09,1,1,1,4,61.0,20.1
RD-TOK-0007,Roppongi Dori,Highway/Expressway,Tokyo,Japan,Roppongi,11.3,4,130,7953,0,0,0,1,0,0,0,0.0,JPY,0,0.0,Good,LED,Semi-Actuated,State/Provincial,35.655276,139.659457,35.682175,139.664738,11524,1691,1996,2021-11-02,2025-03-31,2022-10-06,1,0,1,0,68.9,423.7
RD-TOK-0008,Harajuku Avenue,Toll Road,Tokyo,Japan,Harajuku,56.1,6,120,12720,0,0,0,1,0,0,1,1.5,JPY,0,0.0,Excellent,Solar LED,None,Private,35.738483,139.646517,35.718652,139.621002,13562,1638,1983,2022-08-16,2025-03-24,2023-03-28,1,0,1,0,82.6,204.7
RD-TOK-0009,Ikebukuro Koen Dori,Highway/Expressway,Tokyo,Japan,Ikebukuro,32.2,8,100,16024,1,0,0,1,1,0,0,0.0,JPY,0,0.0,Good,Halogen,Actuated,State/Provincial,35.605401,139.694305,35.589177,139.675614,10602,1386,1969,2021-12-08,2025-01-08,2021-02-09,1,0,1,0,77.8,326.8
RD-TOK-0010,Metropolitan Expressway 238,Arterial Road,Tokyo,Japan,Ikebukuro,10.4,4,70,6595,0,0,1,1,0,0,0,0.0,JPY,0,0.0,Excellent,LED,Fixed Timer,Federal,35.60465,139.625084,35.612154,139.606363,6612,791,1960,2022-04-23,2024-05-29,2023-04-06,1,1,0,5,62.6,298.8
RD-TOK-0011,Harajuku Dori,Boulevard,Tokyo,Japan,Harajuku,7.7,4,40,5946,1,0,1,1,1,0,0,0.0,JPY,0,0.0,Excellent,Halogen,Fixed Timer,National,35.725749,139.617617,35.703165,139.613267,7202,925,1986,2021-12-09,2024-08-26,2021-12-04,0,1,0,2,70.7,495.9
RD-TOK-0012,Metropolitan Expressway 267,Arterial Road,Tokyo,Japan,Akihabara,5.0,4,80,6202,1,0,1,1,0,0,0,0.0,JPY,0,0.0,Excellent,Halogen,Adaptive SCOOT,National,35.68669,139.574894,35.668812,139.598928,5233,776,1971,2022-06-01,2024-04-28,2020-11-13,0,0,0,0,73.4,191.1
RD-TOK-0013,Metropolitan Expressway 587,Arterial Road,Tokyo,Japan,Akihabara,8.8,4,80,6513,1,0,1,1,1,1,0,0.0,JPY,0,0.0,Excellent,Halogen,Fixed Timer,Federal,35.628468,139.698403,35.606545,139.712692,6624,725,1959,2023-07-25,2024-08-11,2022-10-24,0,1,0,3,57.9,317.7
RD-TOK-0014,Harajuku Dori,Highway/Expressway,Tokyo,Japan,Harajuku,17.6,4,120,7894,0,0,1,1,0,0,0,0.0,JPY,0,0.0,Good,Halogen,Adaptive SCOOT,Private,35.639116,139.718,35.624411,139.722635,6530,903,1952,2024-02-23,2024-10-08,2022-02-26,1,1,1,6,62.3,85.2
RD-TOK-0015,Shibuya Dori,Highway/Expressway,Tokyo,Japan,Shibuya,18.5,8,140,15931,0,0,1,1,1,0,1,1.0,JPY,0,0.0,Good,Halogen,Semi-Actuated,Municipal,35.717886,139.581573,35.687931,139.558411,10652,1015,1963,2023-06-16,2025-01-06,2022-08-25,1,1,1,3,61.4,335.9
RD-TOK-0016,Shibuya Koen Dori,Boulevard,Tokyo,Japan,Shibuya,3.6,6,40,9177,1,1,1,1,0,0,0,0.0,JPY,0,0.0,Good,Halogen,None,Private,35.599032,139.64937,35.625543,139.667792,5043,563,1993,2022-01-18,2024-07-25,2020-10-29,0,0,0,0,74.0,432.6
RD-TOK-0017,Metropolitan Expressway 674,Arterial Road,Tokyo,Japan,Harajuku,10.0,4,50,6262,0,0,0,1,0,0,0,0.0,JPY,0,0.0,Excellent,Solar LED,Actuated,National,35.724095,139.605191,35.734161,139.634789,8390,917,1959,2023-01-21,2024-06-02,2022-08-29,1,0,1,0,76.8,378.9
RD-TOK-0018,Shinjuku Dori,Toll Road,Tokyo,Japan,Shinjuku,42.2,4,100,8442,0,0,1,0,0,0,1,8.0,JPY,0,0.0,Under Repair,None,Actuated,Federal,35.658785,139.712448,35.664649,139.695498,12332,1420,1995,2023-10-21,2024-07-16,2020-10-16,1,1,1,3,71.7,392.9
RD-TOK-0019,Route 743,Boulevard,Tokyo,Japan,Shibuya,6.7,6,60,8842,0,0,1,1,0,1,0,0.0,JPY,0,0.0,Excellent,LED,Fixed Timer,State/Provincial,35.597887,139.584448,35.595361,139.559468,10201,834,1988,2022-06-04,2024-07-16,2021-11-24,0,0,0,0,62.5,275.7
RD-TOK-0020,Route 134,Collector Road,Tokyo,Japan,Akihabara,1.2,4,60,4883,0,1,1,1,0,1,0,0.0,JPY,0,0.0,Fair,None,Semi-Actuated,Federal,35.747116,139.716529,35.768165,139.735187,7034,572,1994,2022-03-07,2024-12-31,2023-04-24,0,0,0,0,83.7,283.5
RD-TOK-0021,Ikebukuro Avenue,Ring Road,Tokyo,Japan,Ikebukuro,39.7,8,80,16172,0,0,1,1,0,1,0,0.0,JPY,0,0.0,Fair,LED,Fixed Timer,State/Provincial,35.684072,139.575568,35.708556,139.570986,26581,2322,1995,2022-07-24,2025-03-04,2023-05-31,1,0,1,0,75.4,460.3
RD-TOK-0022,Route 608,Collector Road,Tokyo,Japan,Harajuku,2.2,2,60,2540,0,1,1,0,1,1,0,0.0,JPY,0,0.0,Excellent,Sodium Vapor,Actuated,Federal,35.752469,139.729336,35.739037,139.753045,3714,361,2020,2024-02-23,2025-01-15,2023-06-13,0,0,0,0,80.1,17.9
RD-TOK-0023,Shuto Expressway Line 667,Local Street,Tokyo,Japan,Akihabara,0.5,2,30,1599,0,1,1,0,0,1,0,0.0,JPY,0,0.0,Poor,None,Fixed Timer,National,35.677395,139.576355,35.674619,139.593874,4099,565,2007,2022-02-22,2025-01-09,2023-01-12,0,1,0,0,61.5,3.2
RD-TOK-0024,Metropolitan Expressway 442,Arterial Road,Tokyo,Japan,Ginza,5.2,4,80,6347,1,0,1,1,0,0,0,0.0,JPY,0,0.0,Good,LED,Fixed Timer,Municipal,35.729692,139.573634,35.749607,139.5926,12186,1760,1997,2022-08-12,2024-10-05,2021-02-27,1,1,1,4,60.3,134.5
RD-TOK-0025,Shuto Expressway Line 725,Ring Road,Tokyo,Japan,Shinjuku,44.7,6,120,11955,0,0,0,1,0,0,0,0.0,JPY,0,0.0,Good,Sodium Vapor,Adaptive SCOOT,Private,35.672908,139.659383,35.689129,139.631202,17402,1581,2009,2023-10-08,2024-08-23,2022-08-11,1,1,1,7,73.9,368.4
RD-TOK-0026,Ikebukuro Koen Dori,Arterial Road,Tokyo,Japan,Ikebukuro,11.3,4,80,6484,1,0,1,1,0,0,0,0.0,JPY,0,0.0,Excellent,Solar LED,Actuated,State/Provincial,35.703097,139.594836,35.730522,139.577556,7253,776,2002,2023-08-05,2025-02-25,2022-11-16,0,0,0,0,57.6,240.7
RD-TOK-0027,Shuto Expressway Line 348,Arterial Road,Tokyo,Japan,Roppongi,9.1,4,80,6505,1,0,1,0,0,0,0,0.0,JPY,0,0.0,Fair,Sodium Vapor,Semi-Actuated,Federal,35.735753,139.639829,35.722374,139.667478,8768,1067,2007,2023-09-16,2024-11-28,2020-09-20,0,0,0,0,82.6,341.1
RD-TOK-0028,Route 502,Arterial Road,Tokyo,Japan,Shinjuku,3.1,6,70,9430,0,0,1,0,1,1,0,0.0,JPY,0,0.0,Good,None,Adaptive SCOOT,State/Provincial,35.712857,139.590523,35.729861,139.616497,6777,996,1954,2023-07-06,2024-04-20,2023-02-01,0,1,0,8,77.6,100.1
RD-TOK-0029,Route 849,Collector Road,Tokyo,Japan,Asakusa,2.8,4,40,4749,0,1,1,1,0,1,0,0.0,JPY,0,0.0,Fair,Sodium Vapor,Semi-Actuated,Private,35.598983,139.642598,35.579028,139.669901,4739,640,2013,2023-09-13,2025-03-22,2024-02-01,0,0,0,0,65.0,49.1
RD-TOK-0030,Metropolitan Expressway 949,Highway/Expressway,Tokyo,Japan,Harajuku,46.9,4,100,7990,0,0,1,1,1,1,0,0.0,JPY,0,0.0,Poor,Halogen,Semi-Actuated,Municipal,35.653631,139.664633,35.664078,139.692206,9389,884,1999,2022-05-07,2024-12-12,2022-05-14,1,1,1,3,56.6,75.0
RD-TOK-0031,Shuto Expressway Line 172,Collector Road,Tokyo,Japan,Ueno,5.2,2,50,2360,0,1,0,0,0,1,0,0.0,JPY,0,0.0,Poor,None,Adaptive SCOOT,Federal,35.626707,139.613271,35.640817,139.593998,2817,353,1983,2023-03-25,2024-12-06,2022-10-12,0,0,0,0,67.9,6.5
RD-TOK-0032,Shinjuku Koen Dori,Boulevard,Tokyo,Japan,Shinjuku,2.0,8,60,11898,1,1,1,1,1,0,0,0.0,JPY,0,0.0,Under Repair,Sodium Vapor,Fixed Timer,Private,35.646875,139.631815,35.625259,139.638777,11802,1666,1976,2023-08-02,2024-09-01,2023-08-09,0,1,0,3,63.2,425.7
RD-TOK-0033,Shinjuku Dori,Highway/Expressway,Tokyo,Japan,Shinjuku,10.6,4,80,7838,0,0,1,0,0,0,0,0.0,JPY,0,0.0,Poor,Halogen,Actuated,Federal,35.607218,139.573339,35.628836,139.559488,7948,1092,1955,2024-01-03,2024-10-08,2020-08-03,1,0,1,0,61.0,262.5
RD-TOK-0034,Akihabara Koen Dori,Collector Road,Tokyo,Japan,Akihabara,1.6,4,60,4708,0,1,1,1,1,1,0,0.0,JPY,0,0.0,Excellent,Sodium Vapor,Fixed Timer,Federal,35.616008,139.59645,35.634208,139.613975,8935,1038,1952,2023-06-24,2024-05-21,2020-05-15,0,1,0,4,77.3,486.2
RD-TOK-0035,Asakusa Avenue,Boulevard,Tokyo,Japan,Asakusa,6.6,6,60,8976,0,1,0,1,1,1,0,0.0,JPY,0,0.0,Fair,LED,Fixed Timer,Municipal,35.745612,139.690616,35.760654,139.70819,8535,1160,1999,2022-10-02,2025-02-03,2023-02-15,0,1,0,1,73.0,379.2
RD-TOK-0036,Route 136,Toll Road,Tokyo,Japan,Roppongi,57.7,8,100,16778,0,0,1,1,0,1,1,3.0,JPY,0,0.0,Excellent,Halogen,Actuated,State/Provincial,35.687204,139.644407,35.667305,139.636761,22541,3165,1977,2022-11-20,2024-08-30,2020-09-04,1,0,1,0,55.9,235.0
RD-TOK-0037,Ikebukuro Dori,Highway/Expressway,Tokyo,Japan,Ikebukuro,47.5,6,140,12074,0,0,0,0,0,0,1,5.0,JPY,0,0.0,Good,Sodium Vapor,None,Federal,35.639747,139.584721,35.633095,139.585508,10325,1387,2012,2023-05-14,2025-03-16,2024-02-24,1,1,1,7,72.4,298.0
RD-TOK-0038,Route 332,Collector Road,Tokyo,Japan,Akihabara,1.5,2,60,2261,0,0,0,0,0,1,0,0.0,JPY,0,0.0,Excellent,Sodium Vapor,None,National,35.722631,139.689754,35.735007,139.713547,3208,447,1972,2021-12-04,2025-03-18,2023-01-04,0,0,0,0,68.1,31.6
RD-TOK-0039,Shuto Expressway Line 914,Arterial Road,Tokyo,Japan,Marunouchi,6.6,4,50,6235,0,0,1,0,0,1,0,0.0,JPY,0,0.0,Poor,LED,Semi-Actuated,Private,35.728719,139.695879,35.707374,139.715513,8767,1150,1967,2022-07-30,2024-11-17,2022-11-15,0,0,0,0,66.2,196.0
