event_id,timestamp_start,timestamp_end,event_type,road_id,location_description,severity,duration_minutes,affected_lanes,response_team_dispatched,response_time_min,casualties,description,cause,weather_condition
EVT-00001,2024-02-20 16:06:00,2024-02-20 18:43:00,Kendaraan Mogok,RD-0181,Jl. Sudirman - Bundaran HI,Major,157,4,1,35,0,Kecelakaan tabrakan belakang,Kecelakaan tunggal,Hujan Lebat
EVT-00002,2024-02-07 16:35:00,2024-02-07 19:35:00,Pohon Tumbang,RD-0109,Jl. HR Rasuna Said - Casablanca,Major,180,4,1,27,0,Kecelakaan beruntun,Pemasangan marka jalan,Hujan Sedang
EVT-00003,2024-02-27 07:40:00,2024-02-27 12:18:00,Acara Khusus,RD-0123,Jl. Rasuna Said - Setiabudi,Moderate,278,1,1,45,0,Drainase tersumbat,Bahan berbahaya tumpah,Hujan Sedang
EVT-00004,2024-02-23 16:32:00,2024-02-23 19:39:00,Kemacetan Parah,RD-0157,Jl. KS Tubun - Slipi,Moderate,187,1,1,17,0,Bahan berbahaya tumpah,Konvoi kendaraan resmi,Berawan
EVT-00005,2024-03-10 16:10:00,2024-03-10 21:47:00,Pohon Tumbang,RD-0133,Jl. Jend. Sudirman - Semanggi,Moderate,337,1,1,15,0,Festival jalanan,Insiden struktur jalan,Hujan Ringan
EVT-00006,2024-02-17 06:53:00,2024-02-17 09:33:00,Konvoi,RD-0137,Jl. Jend. Sudirman - Semanggi,Critical,160,3,1,13,0,Kendaraan mogok di jalan,Kecelakaan tunggal,Hujan Lebat
EVT-00007,2024-01-28 08:41:00,2024-01-28 14:12:00,Jalan Ditutup,RD-0012,Jl. Hayam Wuruk - Harmoni,Critical,331,2,1,12,0,Curah hujan tinggi,Kecelakaan beruntun,Hujan Lebat
EVT-00008,2024-02-04 10:52:00,2024-02-04 13:34:00,Kecelakaan,RD-0100,Jl. MT Haryono - Cawang,Moderate,162,4,0,0,0,Kecelakaan tunggal,Insiden struktur jalan,Berawan
EVT-00009,2024-02-14 09:47:00,2024-02-14 10:17:00,Kendaraan Mogok,RD-0109,Jl. Casablanca - Kampung Melayu,Major,30,4,1,37,0,Pemasangan marka jalan,Konvoi kendaraan resmi,Hujan Ringan
EVT-00010,2024-02-03 13:25:00,2024-02-03 14:02:00,Protes/Unjuk Rasa,RD-0087,Jl. Jend. Gatot Subroto - Slipi,Major,37,1,1,8,0,Pemasangan marka jalan,Kecelakaan tunggal,Hujan Ringan
EVT-00011,2024-03-13 10:50:00,2024-03-13 12:26:00,Jalan Ditutup,RD-0054,Jl. KS Tubun - Slipi,Major,96,1,1,22,0,Bahan berbahaya tumpah,Curah hujan tinggi,Berawan
EVT-00012,2024-01-25 02:48:00,2024-01-25 13:53:00,Acara Khusus,RD-0069,Jl. Casablanca - Kampung Melayu,Moderate,665,4,1,43,0,Pemasangan marka jalan,Jalan rusak,Hujan Lebat
EVT-00013,2024-03-28 02:18:00,2024-03-28 04:49:00,Konvoi,RD-0135,Jl. Raden Saleh - Salemba,Minor,151,3,0,0,0,Kecelakaan tunggal,Insiden struktur jalan,Cerah
EVT-00014,2024-02-24 01:24:00,2024-02-24 02:50:00,Kecelakaan,RD-0087,Jl. Rasuna Said - Setiabudi,Moderate,86,1,1,33,0,Insiden struktur jalan,Jalan rusak,Hujan Lebat
EVT-00015,2024-02-06 19:50:00,2024-02-06 22:09:00,Kendaraan Mogok,RD-0001,Jl. Gajah Mada - Mangga Dua,Minor,139,1,1,7,0,Kendaraan terguling,Jalan rusak,Hujan Sedang
EVT-00016,2024-01-30 23:16:00,2024-02-01 06:27:00,Perbaikan Jalan,RD-0123,Jl. Gajah Mada - Mangga Dua,Major,1871,2,1,38,0,Drainase tersumbat,Insiden struktur jalan,Hujan Sedang
EVT-00017,2024-01-12 15:18:00,2024-01-13 00:24:00,Banjir,RD-0195,Jl. Rasuna Said - Setiabudi,Minor,546,3,0,0,0,Kecelakaan tunggal,Perbaikan saluran air,Hujan Ringan
EVT-00018,2024-01-10 19:39:00,2024-01-10 22:05:00,Kecelakaan,RD-0123,Jl. Raya Bogor - Cibubur,Moderate,146,2,0,0,0,Kecelakaan beruntun,Kecelakaan tabrakan belakang,Hujan Ringan
EVT-00019,2024-02-28 00:11:00,2024-02-28 05:17:00,Jalan Ditutup,RD-0188,Jl. Sudirman - Bundaran HI,Minor,306,4,1,25,0,Pemasangan marka jalan,Kendaraan terguling,Cerah
EVT-00020,2024-01-06 01:47:00,2024-01-06 07:26:00,Jalan Ditutup,RD-0182,Jl. Hayam Wuruk - Harmoni,Minor,339,3,0,0,0,Festival jalanan,Drainase tersumbat,Cerah
EVT-00021,2024-02-29 22:32:00,2024-03-01 01:37:00,Acara Khusus,RD-0061,Jl. Casablanca - Kampung Melayu,Major,185,3,1,10,0,Bahan berbahaya tumpah,Curah hujan tinggi,Hujan Ringan
EVT-00022,2024-02-12 23:01:00,2024-02-13 04:08:00,Protes/Unjuk Rasa,RD-0160,Jl. Asia Afrika - Gelora Bung Karno,Moderate,307,1,1,36,0,Kendaraan mogok di jalan,Perbaikan saluran air,Berawan
EVT-00023,2024-01-05 04:59:00,2024-01-05 10:14:00,Protes/Unjuk Rasa,RD-0130,Jl. Asia Afrika - Gelora Bung Karno,Moderate,315,4,0,0,0,Kendaraan mogok di jalan,Konvoi kendaraan resmi,Hujan Ringan
EVT-00024,2024-03-30 20:41:00,2024-03-31 00:31:00,Jalan Ditutup,RD-0173,Jl. KS Tubun - Slipi,Moderate,230,2,1,40,0,Proyek perbaikan jalan,Pemasangan marka jalan,Berawan
EVT-00025,2024-02-09 07:09:00,2024-02-09 12:05:00,Protes/Unjuk Rasa,RD-0141,Jl. Jend. Gatot Subroto - Slipi,Critical,296,4,1,16,0,Kecelakaan tabrakan belakang,Konvoi kendaraan resmi,Hujan Ringan
EVT-00026,2024-01-24 12:53:00,2024-01-25 17:26:00,Perbaikan Jalan,RD-0148,Jl. Jend. Gatot Subroto - Slipi,Minor,1713,2,1,34,0,Kecelakaan tabrakan belakang,Kecelakaan tabrakan belakang,Hujan Ringan
EVT-00027,2024-03-11 07:29:00,2024-03-11 12:25:00,Acara Khusus,RD-0026,Jl. MT Haryono - Cawang,Critical,296,4,1,27,0,Kecelakaan tunggal,Insiden struktur jalan,Berawan
EVT-00028,2024-03-18 18:26:00,2024-03-18 22:58:00,Kemacetan Parah,RD-0018,Jl. Pemuda - Senen,Critical,272,3,1,24,0,Festival jalanan,Proyek perbaikan jalan,Hujan Lebat
EVT-00029,2024-01-10 14:45:00,2024-01-10 16:00:00,Kendaraan Mogok,RD-0130,Jl. Jend. Gatot Subroto - Slipi,Moderate,75,4,0,0,0,Jalan rusak,Curah hujan tinggi,Hujan Sedang
EVT-00030,2024-01-08 07:45:00,2024-01-08 08:52:00,Pohon Tumbang,RD-0131,Jl. Sudirman - Bundaran HI,Moderate,67,4,0,0,0,Perbaikan saluran air,Proyek perbaikan jalan,Cerah
EVT-00031,2024-03-26 22:29:00,2024-03-27 00:20:00,Kendaraan Mogok,RD-0011,Jl. Hayam Wuruk - Harmoni,Major,111,3,1,34,0,Perbaikan saluran air,Jalan rusak,Hujan Lebat
EVT-00032,2024-01-03 07:31:00,2024-01-03 11:41:00,Kemacetan Parah,RD-0102,Jl. Asia Afrika - Gelora Bung Karno,Minor,250,2,0,0,0,Proyek perbaikan jalan,Kendaraan mogok di jalan,Hujan Sedang
EVT-00033,2024-02-19 12:11:00,2024-02-19 20:40:00,Acara Khusus,RD-0060,Jl. Satrio - Mega Kuningan,Major,509,4,1,40,0,Proyek perbaikan jalan,Kecelakaan tabrakan belakang,Hujan Sedang
EVT-00034,2024-02-10 08:30:00,2024-02-10 11:14:00,Protes/Unjuk Rasa,RD-0194,Jl. Proklamasi - Menteng,Minor,164,2,0,0,0,Proyek perbaikan jalan,Perbaikan saluran air,Berawan
EVT-00035,2024-03-31 04:36:00,2024-03-31 07:53:00,Protes/Unjuk Rasa,RD-0032,Jl. Proklamasi - Menteng,Moderate,197,2,1,44,0,Insiden struktur jalan,Kecelakaan tunggal,Hujan Sedang
EVT-00036,2024-01-02 05:55:00,2024-01-02 11:38:00,Kemacetan Parah,RD-0036,Jl. Thamrin - Monas,Moderate,343,3,1,29,0,Perbaikan saluran air,Curah hujan tinggi,Hujan Ringan
EVT-00037,2024-01-05 12:02:00,2024-01-05 17:54:00,Konvoi,RD-0033,Jl. Casablanca - Kampung Melayu,Moderate,352,3,0,0,0,Kecelakaan tunggal,Konvoi kendaraan resmi,Hujan Lebat
EVT-00038,2024-01-11 03:39:00,2024-01-11 04:51:00,Kecelakaan,RD-0086,Jl. Raden Saleh - Salemba,Major,72,4,1,31,0,Festival jalanan,Proyek perbaikan jalan,Hujan Lebat
EVT-00039,2024-01-29 18:59:00,2024-01-29 19:15:00,Kendaraan Mogok,RD-0102,Jl. Gajah Mada - Mangga Dua,Moderate,16,4,0,0,0,Kendaraan terguling,Insiden struktur jalan,Hujan Sedang
EVT-00040,2024-03-06 05:27:00,2024-03-06 08:29:00,Kemacetan Parah,RD-0189,Jl. KS Tubun - Slipi,Major,182,2,1,9,0,Konvoi kendaraan resmi,Insiden struktur jalan,Hujan Lebat
EVT-00041,2024-01-25 18:10:00,2024-01-25 22:03:00,Acara Khusus,RD-0077,Jl. Asia Afrika - Gelora Bung Karno,Major,233,2,1,44,0,Jalan rusak,Pemasangan marka jalan,Berawan
EVT-00042,2024-02-20 20:42:00,2024-02-21 02:12:00,Konvoi,RD-0190,Jl. Gajah Mada - Mangga Dua,Major,330,3,1,34,0,Insiden struktur jalan,Insiden struktur jalan,Hujan Sedang
EVT-00043,2024-03-11 12:54:00,2024-03-11 16:27:00,Kemacetan Parah,RD-0165,Jl. Asia Afrika - Gelora Bung Karno,Major,213,2,1,5,0,Kendaraan terguling,Konvoi kendaraan resmi,Cerah
EVT-00044,2024-01-03 08:11:00,2024-01-03 16:30:00,Banjir,RD-0093,Jl. KS Tubun - Slipi,Minor,499,4,1,22,0,Kecelakaan beruntun,Jalan rusak,Hujan Ringan
EVT-00045,2024-03-31 17:44:00,2024-03-31 23:43:00,Kemacetan Parah,RD-0194,Jl. Casablanca - Kampung Melayu,Major,359,3,1,14,0,Drainase tersumbat,Kecelakaan beruntun,Hujan Ringan
EVT-00046,2024-01-02 18:19:00,2024-01-02 20:41:00,Banjir,RD-0098,Jl. KS Tubun - Slipi,Major,142,1,1,25,0,Kecelakaan beruntun,Konvoi kendaraan resmi,Hujan Sedang
EVT-00047,2024-01-25 14:15:00,2024-01-26 00:16:00,Acara Khusus,RD-0196,Jl. HR Rasuna Said - Casablanca,Major,601,1,1,31,0,Bahan berbahaya tumpah,Kendaraan mogok di jalan,Hujan Lebat
EVT-00048,2024-03-05 01:23:00,2024-03-05 06:37:00,Konvoi,RD-0164,Jl. Gatot Subroto - Kuningan,Minor,314,4,1,20,0,Insiden struktur jalan,Kecelakaan beruntun,Berawan
EVT-00049,2024-01-15 00:27:00,2024-01-15 03:14:00,Kecelakaan,RD-0065,Jl. Jend. Sudirman - Semanggi,Moderate,167,3,1,19,0,Kecelakaan beruntun,Insiden struktur jalan,Cerah
EVT-00050,2024-01-25 03:36:00,2024-01-25 06:43:00,Protes/Unjuk Rasa,RD-0048,Jl. Jend. Gatot Subroto - Slipi,Minor,187,2,1,12,0,Kecelakaan beruntun,Kendaraan mogok di jalan,Hujan Ringan
EVT-00051,2024-02-13 03:39:00,2024-02-13 06:02:00,Pohon Tumbang,RD-0120,Jl. Diponegoro - Cikini,Major,143,1,1,19,0,Konvoi kendaraan resmi,Curah hujan tinggi,Cerah
EVT-00052,2024-01-08 13:55:00,2024-01-08 17:05:00,Konvoi,RD-0197,Jl. Hayam Wuruk - Harmoni,Minor,190,3,0,0,0,Kecelakaan tunggal,Proyek perbaikan jalan,Hujan Lebat
